,Unnamed: 0,smiles,eib,bandgap_chain,bandgap_crystal
0,0,[*]C[*],3.782229466660142,6.8063,
1,1,[*]CC([*])C,,6.4609,
2,2,[*]CC([*])CC,,6.6228,7.9012
3,3,[*]CC([*])CCC,,6.738,7.2705
6,6,[*]CC([*])CC(C)C,,6.7268,
28,28,[*]CC1CCC([*])C1,3.97409745261872,6.8566,7.9703
42,42,[*]CC([*])CCCC1CCCCC1,,6.5685,7.5725
45,45,[*]C=CCCC[*],4.0238850874080825,4.5769,
46,46,[*]C=CCC[*],,5.7686,
48,48,[*]C=C[*],1.202427045061842,1.4732,
49,49,[*]CCC(C)C([*])C,,6.6239,
51,51,[*]C=CCCCCCCCC[*],,5.856,
53,53,[*]C=CCCCCCCCCCC[*],,5.8693,
55,55,[*]C=CCCCCCC[*],,5.78,
57,57,[*]C=CCCCC[*],,5.6199,
64,64,[*]CC([*])C1CC=CCC1,,5.4849,
68,68,[*]C1CCC1[*],4.005295875080157,6.0558,6.5419
69,69,[*]C=CCCCCC[*],,5.7935,
70,70,[*]C=CC1CCC([*])C1,4.219920012382153,5.1969,
71,71,[*]C=CC(C[*])C(C)CC,,4.91,
72,72,[*]CCC=C([*])CCC,,5.2335,
73,73,[*]CC1([*])CCCCC1,4.282312361674669,6.2872,7.3387
74,74,[*]C=CC(C)CCCCC[*],,5.4049,
75,75,[*]CC/C=C([*])\C(C)(C)C,,5.2577,
78,78,[*]CC([*])c1ccccc1CC,,5.1303,
92,92,[*]CC([*])c1ccccc1C(=O)OC,,4.8063,
101,101,[*]CC([*])c1ccccc1C(=O)Oc1ccccc1,,2.1638,
105,105,[*]CC([*])c1ccccc1Cl,3.34246559489165,2.5286,
107,107,[*]CC([*])c1cccc(C)c1,,5.0775,
112,112,[*]CC([*])c1ccc(C)cc1,,4.8699,
118,118,[*]CC([*])c1ccc(CCCCCC)cc1,,4.9196,
124,124,[*]CC([*])c1ccc(CCCCCCCCCCCCCCCC)cc1,,5.0066,
130,130,[*]CC([*])c1ccc(Br)cc1,4.47113561833475,2.235,
140,140,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,3.818478151057493,4.4244,
152,152,[*]CC([*])c1ccc(C(=O)CCN2CCCCC2)cc1,,2.7738,
154,154,[*]CC([*])c1ccc(C(=O)OC)cc1,,4.6598,
159,159,[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,3.7132759209461903,4.6433,4.8032
160,160,[*]CC([*])c1ccc(C(=O)OCCCCCC)cc1,,4.6127,
163,163,[*]CC([*])c1ccc(C(=O)CCCC)cc1,,4.4871,
166,166,[*]CC([*])c1ccc(C(=O)Cc2ccccc2)cc1,2.6753441667109232,3.5934,
167,167,[*]CC([*])c1ccc(C(=O)c2ccccc2)cc1,,3.7318,
169,169,[*]CC([*])c1ccc(F)cc1,2.1073966781420816,2.1384,
171,171,[*]CC([*])c1ccc(N(C)C)cc1,,3.7056,
181,181,[*]CC([*])c1ccc(C)cc1C,,4.9248,
186,186,[*]CC([*])c1cc(C)ccc1C,,4.9087,
189,189,[*]CC([*])c1cc(Cl)ccc1Cl,3.072309708509928,2.784,
192,192,[*]CC([*])c1cc(Br)ccc1OCCCC,,4.5234,
193,193,[*]CC([*])c1cc(Br)ccc1OCC,,4.4644,
196,196,[*]CC([*])c1cc(Br)ccc1OC(C)C,,4.6823,
199,199,[*]CC([*])c1cc(C)cc(C)c1,,4.7319,
200,200,[*]CC([*])c1ccc(C)c(C)c1,,4.8262,
201,201,[*]CC([*])c1ccc(Cl)c(C)c1,3.9746596884091394,4.8762,
202,202,[*]CC([*])c1ccc(Cl)c(Cl)c1,2.3860128141420534,2.4525,
209,209,[*]C(F)(F)C([*])(F)c1ccccc1,3.9786795847698784,5.4751,
213,213,[*]CC([*])c1ccc(C(=O)CCN2CCOCC2)cc1,,3.3487,
218,218,[*]CC([*])c1ccc2ccccc2c1,,3.4472,
220,220,[*]CC([*])c1cccc(C)n1,3.867285095064125,4.9415,
221,221,[*]CC([*])c1ccc(C)nc1,3.470969022815674,4.7592,
222,222,[*]CC([*])n1cc2ccccc2n1,3.4999077853513016,3.5251,
231,231,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1,3.891502647484559,5.5708,
233,233,[*]CC([*])O,3.6569595740235807,6.4144,7.5488
234,234,[*]CC([*])C=O,,4.3172,
238,238,[*]CC([*])C(C)=O,,5.4371,
241,241,[*]CC([*])C#N,2.8952710770220884,7.7739,7.4435
242,242,[*]CC([*])(C)C#N,3.7898258119932215,7.6507,7.1863
244,244,[*]CC([*])n1c2ccccc2c2ccccc21,,3.9624,
245,245,[*]CC([*])OC,,5.5422,
246,246,[*]CC([*])OCC,,5.5149,
248,248,[*]CC([*])OCCCCC,,5.8682,
249,249,[*]CC([*])OCCCCCC,,5.7163,
251,251,[*]CC([*])OC(C)=O,,6.7973,5.9373
252,252,[*]CC([*])OC(=O)CC,,6.4816,
259,259,[*]C=CC(C)C([*])C(=O)OC,,5.5526,
261,261,[*]CC([*])OC=O,3.5334892369279216,6.9115,
262,262,[*]CC([*])OCc1ccccc1,4.196305112115127,5.0748,
269,269,[*]CC([*])OC(=O)C(F)(F)F,3.6695385006852166,6.7735,6.257999999999999
270,270,[*]C=CC(C[*])OC,3.8982580061938576,5.1557,
271,271,[*]C=CCC(C)(CC[*])C(=O)OC,,5.4239,
273,273,[*]CC([*])CCc1ccc(C)cc1,,4.9769,4.5772
274,274,[*]CC([*])OCCCCCCCCCCCC,,5.4484,
279,279,[*]C(C)C([*])OC,,5.311,
281,281,[*]C1CC([*])(C#N)C1,3.0604044245419733,6.7759,
288,288,[*]C(C)C([*])O,,6.1475,7.9156
290,290,[*]CC([*])C(=O)C(C)(C)C,3.5904450336542464,5.3161,5.2414
293,293,[*]CC([*])C(=O)c1ccccc1O,1.6361291772469002,1.6926,
295,295,[*]C([*])O,3.776381918816245,6.5244,
297,297,[*]CC([*])SCCCC,,4.6594,
299,299,[*]CC([*])SCC,4.291021060907272,4.9830000000000005,
301,301,[*]C(F)(F)C([*])(F)OC(F)(F)C(F)(F)F,3.432100858388204,8.4702,
303,303,[*]C(OC(F)(F)F)C([*])(F)F,4.0714882622249755,8.3525,
304,304,[*]C(F)C([*])(F)OC(F)(F)F,3.2628117861334984,8.2674,7.802
305,305,[*]C(F)(F)C([*])(F)OC(F)(F)F,3.3529377415250954,8.0507,
307,307,[*]CC([*])SC,4.118807514538436,4.9974,
310,310,[*]CC([*])(F)C(C)=O,2.839275138688147,4.5671,
312,312,[*]CC([*])C(=O)c1ccc(Br)c(OC)c1,2.8476737241180032,3.6104,
313,313,[*]CC([*])C(=O)c1ccc(C(C)(C)C)cc1,3.109414624968708,4.1556,
315,315,[*]CC([*])C(=O)c1ccc(CC)cc1,3.1862464995678392,4.2696,3.9853
322,322,[*]CC([*])OC(=O)c1ccc(OC(C)=O)cc1,3.314907892223001,4.5702,
324,324,[*]CC([*])OC(=O)c1cccc(Br)c1,2.8668519326260204,4.1757,
327,327,[*]CC([*])OC(=O)c1ccccc1Cl,,1.9134,
328,328,[*]CC([*])OC(=O)c1cccc(Cl)c1,2.643961059257073,3.3503,
329,329,[*]CC([*])OC(=O)c1ccc(Cl)cc1,,2.1125,
336,336,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.78521785130813,6.4637,6.0228
340,340,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.1057262263338137,5.9661,
342,342,[*]CC([*])OC(=O)C(F)(F)C(F)(F)F,3.3064612175114965,6.6062,
343,343,[*]CC([*])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.8470597675992324,6.3179,
349,349,[*]CC([*])OC(=O)c1ccc(OC)cc1,3.8062777629842537,4.3587,
350,350,[*]CC([*])OC(=O)c1ccccc1C,3.8686631665502262,4.1103,
358,358,[*]CC([*])OC(=O)c1cccnc1,2.961323149545502,4.5419,
360,360,[*]CC([*])OC(=O)C(C)(C)C,,6.216,
366,366,[*]C=C([*])c1ccccc1,1.2105001606759016,0.0933,
367,367,[*]CC([*])OC(=O)CCC,,6.8392,
368,368,[*]CC([*])OC(=O)CCCCCCC,,6.5982,
371,371,[*]CC([*])c1cccs1,3.310409462877828,1.9401,
372,372,[*]CC([*])OCCCl,,6.0222,
373,373,[*]CC([*])OCCOC,,5.8187,
381,381,[*]CC([*])c1nc(C)nc(C)n1,3.3144774943120616,5.2309,
383,383,[*]CC([*])OC(=O)CCCCC,,6.3016,
386,386,[*]CC(OC)C1C(=O)OC(=O)C1[*],2.9889607373394105,5.9831,
387,387,[*]CC(OC)C(C(=O)O)C([*])C(=O)O,,6.2764,
395,395,[*]CC([*])n1ccnc1,3.7576836851192574,4.7081,
401,401,[*]CC([*])C(=O)c1ccc(Br)cc1,1.9237477397112053,3.2553,
402,402,[*]CC([*])OC(=O)CC1CCCC1,,6.5439,6.4741
403,403,[*]CC([*])N1CCCC1=O,4.117333515128096,5.5533,5.5902
405,405,[*]CC([*])C(=O)O,3.5299056689192523,6.7294,6.1071
407,407,[*]CC([*])C(=O)OCC,,6.214,6.7935
409,409,[*]CC([*])C(=O)OC(C)C,,6.4617,6.455
411,411,[*]CC([*])C(=O)OCC(C)C,,6.1213,
415,415,[*]CC([*])C(=O)OCCCCCCC,,6.4578,
418,418,[*]CC([*])C(=O)OCCCCCCCCCCCCCC,,6.4613,
422,422,[*]CC([*])C(=O)OCC=C,3.597512951289398,6.0639,
424,424,[*]CC([*])C(=O)OCC(F)(F)F,,6.6246,6.7224
430,430,[*]CC([*])C(=O)OCC(F)(F)C(F)C(F)(F)F,,6.7714,
431,431,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,3.798582239193984,6.6215,
432,432,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.126137361411288,6.2702,6.4578
434,434,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.8293256473759083,6.2707,5.7185
437,437,[*]CC([*])C(=O)OCCCOC,,5.8022,
438,438,[*]CC([*])C(=O)OCCCOCC,,5.7142,
440,440,[*]CC([*])C(=O)OCCOC(F)(F)C(F)F,,6.6828,
442,442,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,3.6940992277056015,6.3632,
450,450,[*]CC([*])(C)C(=O)OCC,,6.4221,6.2424
457,457,[*]CC([*])(C)C(=O)OCCCCCC,,6.4612,
468,468,[*]CC([*])(C)C(=O)Oc1ccccc1,3.970261242410115,5.3439999999999985,4.8118
471,471,[*]CC([*])(C)C(=O)OCCc1ccccc1,4.309645150571392,5.6532,4.9946
472,472,[*]CC([*])(C)C(=O)Oc1ccc2ccccc2c1,3.5036285450711966,3.5795,
475,475,[*]CC([*])(C)C(=O)OCCBr,3.8466584740857566,5.7827,
476,476,[*]CC([*])(C)C(=O)OCC(F)(F)F,,6.6593,6.3398
477,477,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)F,,6.2786,5.3983
479,479,[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,2.5754956909368425,6.0249,5.3218
480,480,[*]CC([*])(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,2.9205016280360123,6.1224,6.1125
486,486,[*]CC([*])(C)C(=O)OCCO,,6.5304,
487,487,[*]CC([*])(C)C(=O)OCCOCC,,6.3843,5.9514
488,488,[*]CC([*])(C)C(=O)OCC1CCCO1,,5.7341,
492,492,[*]CC([*])(Cl)C(=O)OC,2.9171726717661626,5.6127,
493,493,[*]CC([*])(Cl)C(=O)OCC,3.4206827293364133,5.9476,
496,496,[*]CC([*])C(N)=O,4.040519524240119,6.1879,6.3764
504,504,[*]CC([*])C(=O)OC(CC)CC,,6.5156,6.2722
516,516,[*]CC([*])(C#N)C(=O)OC,3.1158822161914235,6.627000000000002,
522,522,[*]CC([*])C(=O)OC(C)CC(C)C,,6.3188,
524,524,[*]CC([*])C(=O)OCCC#N,,6.377000000000002,
525,525,[*]CC([*])C(=O)OCF,3.5640525510626286,6.6724,6.1736
529,529,[*]CC([*])C(=O)OCCSCC,,4.7676,
530,530,[*]CC([*])C(=O)OCCCCSC,,4.7854,5.1007
531,531,[*]CC([*])C(=O)OCCCSCC,,4.6018,5.1212
532,532,[*]CC([*])C(=O)OCCSCC#N,,5.2325,
533,533,[*]CC([*])C(=O)OCCSCCC#N,,5.1842,
535,535,[*]CC([*])C(=O)OCCCSCCC#N,,5.3732,
536,536,[*]CC([*])C(=O)OCCCCCCSCC#N,,5.0954,
539,539,[*]CC([*])C(=O)N1CCOCC1,,5.4243,
542,542,[*]CC([*])C(=O)Oc1cccc(C)c1,3.3827670056829398,4.8157,
546,546,[*]CC([*])C(=O)Oc1ccc(OC)cc1,3.387780652342261,4.4785,
559,559,[*]CC([*])C(=O)Oc1ccc(C#N)cc1,2.962797290081613,4.5584,
565,565,[*]CC([*])C(=O)N(C)C,,5.0126,
566,566,[*]CC([*])C(=O)NCCCC,,5.6336,
580,580,[*]CC([*])(C)C(=O)OCCC#N,,6.2488,6.2508
582,582,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,3.8807853598858775,6.2894,
597,597,[*]CC([*])(F)C(=O)OC,3.800515807493978,6.7927,
598,598,[*]CC([*])(CF)C(=O)OC,3.8409737086358327,6.6709,
600,600,[*]CC([*])(Cl)C(=O)OC(C)C,3.895114422532792,6.3507,
609,609,[*]CC([*])C(=O)Oc1ccc(Cl)cc1,3.5111881000497287,2.7059,
613,613,[*]CC([*])C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,6.7568,6.0236
614,614,[*]CC([*])C(=O)OCCC(C)OC,,6.0444,
626,626,[*]C1C(=O)N(C2CCCCC2)C(=O)C1[*],,5.0769,
633,633,[*]CC([*])(C#N)C(=O)OCC,,6.5116,6.1989
634,634,[*]CCC(C(=O)OCC)C([*])C(=O)OCC,,6.3468,
635,635,[*]CC([*])C(=O)OCCO,,6.4938,
636,636,[*]C1C(=O)N(c2ccc(C)cc2)C(=O)C1[*],,4.3143,
655,655,[*]CC([*])(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,,3.7221,
661,661,[*]CCC(C(=O)OC)C([*])C(=O)OC,,6.5207,6.3252
663,663,[*]CC([*])(C#N)C(=O)OCC(C)C,3.4088341752110685,6.6657,
664,664,[*]CC([*])(C#N)C(=O)OC(C)C,,6.4652,5.8301
665,665,[*]CC([*])(C#N)C(=O)OCCCCCCC,,6.3228,
666,666,[*]CC([*])(CO)C(=O)OCC,,5.919,
668,668,[*]C1C(=O)OC(=O)C1[*],2.175723290866956,6.3511,6.0081
672,672,[*]CC([*])F,3.929111604601062,7.7611,
673,673,[*]CC([*])Cl,3.96881566898446,7.0461,
674,674,[*]CC([*])(F)F,3.2989617901365844,7.2321,
675,675,[*]CC([*])(Cl)Cl,3.0667918853555167,5.2835,
676,676,[*]C(F)C([*])(F)F,3.230630405786142,8.2406,
678,678,[*]CCC=C([*])Cl,,5.5601,
679,679,[*]CC([*])(F)C(F)(F)F,4.198460614974397,8.7581,
681,681,[*]CC([*])C(F)(F)F,3.7011340059090254,8.4665,
683,683,[*]CC([*])Br,3.280738256121265,5.7722,
685,685,[*]CCC(F)(F)C([*])(F)Cl,3.8667040433835314,7.6185,7.4828
686,686,[*]CCC(F)(F)C([*])(F)F,4.2284589510349795,8.6322,
687,687,[*]CC([*])(Br)Br,2.335650933807951,4.9377,4.6615
690,690,[*]CCCCCCCCC(Cl)C([*])Cl,,6.9848,
691,691,[*]CCCCCCCCCCC(Cl)C([*])Cl,,6.9183,
692,692,[*]CCCC(Cl)C([*])Cl,3.3436083402398857,6.371,
694,694,[*]CC(F)(F)C(F)=C([*])Cl,1.9453282366642424,4.7787,
695,695,[*]C=C(F)C(F)(F)C[*],3.5010852889258124,5.655,
701,701,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C(F)(Cl)C1(F)F,3.202310163035526,7.1763,
702,702,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C1(F)F,2.157108858219268,6.9783,
704,704,[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C1(F)F,2.3788783019688635,7.0615,6.9544
705,705,[*]C(Cl)=C(Cl)C(Cl)(Cl)C([*])(Cl)Cl,2.3592971567755687,4.2995,3.2001
708,708,[*]CCC(Cl)C([*])Cl,4.26669452270231,6.5894,6.4523
709,709,[*]C=CC(C[*])(C(F)(F)F)C(F)(F)F,3.0189478173804463,5.9378,5.7329
710,710,[*]CCC=C([*])C,,5.2179,
711,711,[*]C=CC(C)C[*],,5.516,
713,713,[*]C=CC(C[*])CC,,5.4466,
714,714,[*]C=CC(C[*])CCC,,5.7643,5.7469
715,715,[*]C1C=CC([*])CC1,3.847582878945352,5.5013,5.4843
716,716,[*]CC([*])=C,3.600661034623031,5.3561,
717,717,[*]CC([*])C=C,,2.5214,
718,718,[*]CC([*])C=CC,,5.3344,
719,719,[*]CC([*])C=C(C)C,,4.9414,
721,721,[*]C=CC(C)C([*])C,3.9062055916105054,5.3085,
722,722,[*]C=CC(C)(C)C([*])(C)C,,5.5814,
